Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
06390,820,14.4,7.2,46.5,53.7
07421,3285,23.8,13.3,8.8,22.1
10001,13836,3.2,2.6,33,35.6
10002,35803,14.3,10,37.2,47.2
10003,31083,10.9,5.2,51.4,56.6
10004,2044,1,2.2,67,69.2
10005,5442,5.5,3.7,49.2,52.9
10006,2167,3,1.7,63.7,65.4
10007,3188,1.4,0.5,27.5,28
10009,31256,11.5,29,32.4,61.4
10010,17847,8,12.4,25.7,38.1
10011,33543,7.3,6.4,50.7,57.1
10012,14180,6.9,4,67.3,71.3
10013,14178,3.4,2.5,60,62.5
10014,21756,5.5,4,69.8,73.8
10016,35421,11.8,5.3,24.2,29.5
10017,12720,8.1,4.3,42,46.3
10018,5859,1.5,3.3,27.3,30.6
10019,32827,5.9,6.8,30.4,37.2
10021,30615,14.8,7.4,28.7,36.1
10022,23904,19.2,5.8,28.2,34
10023,41182,5.5,4.6,49.5,54.1
10024,33872,3.4,3.4,74.9,78.3
10025,48734,7.3,3.9,60.6,64.5
10026,17085,11.2,6.4,41.2,47.6
10027,26298,16.3,4.8,47.4,52.2
10028,29368,13.8,4.5,35.7,40.2
10029,33769,16.8,9.9,23.8,33.7
10030,13563,7.3,7.2,43.5,50.7
10031,23957,3.7,7.6,71.8,79.4
10032,22226,5.2,13.4,64,77.4
10033,20654,7.4,12,64.8,76.8
10034,16724,11.5,12.6,64.6,77.2
10035,15233,14.7,6.1,24.3,30.4
10036,19522,3.1,2.5,28.3,30.8
10037,10534,23.3,18.7,14.3,33
10038,11508,12.9,6,27.5,33.5
10039,11827,14.3,6.3,25.5,31.8
10040,17309,12.2,11.9,59,70.9
10044,5429,1.7,0.2,4,4.2
10065,21614,15.1,8.1,32.5,40.6
10069,3625,0,0,0,0
10075,12954,13.5,9.9,34.6,44.5
10128,35160,6.8,4.7,35.4,40.1
10162,709,0,3.4,0,3.4
10280,5347,0,0,0.6,0.6
10282,2900,0,0,0.5,0.5
10301,16293,13.1,7.6,40.9,48.5
10302,6807,12,9.6,46.9,56.5
10303,9240,7.3,3.1,24.7,27.8
10304,16178,12.9,4.4,29,33.4
10305,15903,11.5,4.2,17.2,21.4
10306,21566,15,5.1,13.4,18.5
10307,5421,3.2,2.2,22.9,25.1
10308,11247,7.9,2.3,13.5,15.8
10309,11882,2.5,0.4,7.2,7.6
10310,9311,11.4,8,44.4,52.4
10312,22218,5.3,1.6,5.6,7.2
10314,33113,8.6,3.3,10.8,14.1
10451,19631,14.2,13.8,28.8,42.6
10452,27018,7.5,12.3,48.6,60.9
10453,28714,10.7,14.1,46.7,60.8
10454,13988,17.6,6.3,40.1,46.4
10455,14863,12.5,5.3,44.3,49.6
10456,31829,11.1,9.3,43.4,52.7
10457,25665,8.2,11,51.4,62.4
10458,28886,8.4,11.7,55.5,67.2
10459,17625,7.3,4.1,45,49.1
10460,21364,10.1,7.6,34.1,41.7
10461,20286,16.1,13.3,37.8,51.1
10462,31105,11.9,24.2,43.8,68
10463,30239,24.8,9,32.5,41.5
10464,2142,13.3,4,43,47
10465,16884,24.5,10.4,23.9,34.3
10466,24926,21.7,11.3,34.6,45.9
10467,38059,14.2,14.2,38.4,52.6
10468,26969,9.1,15.3,57.2,72.5
10469,23576,27.1,16.8,25.4,42.2
10470,6355,16.8,14,46.3,60.3
10471,9721,22.3,12.3,22.7,35
10472,23328,24.8,11.4,34.1,45.5
10473,21894,16.6,8.5,15.9,24.4
10474,4105,7,3.8,62.9,66.7
10475,19189,5.2,3.4,3.4,6.8
10501,415,12.3,7,8.2,15.2
10502,2008,33.9,7.7,17.5,25.2
10503,95,0,0,100,100
10504,2862,20.2,3.2,14.2,17.4
10505,297,3.4,0,0,0
10506,2331,13.7,2.1,18.9,21
10507,2379,14.3,7.8,20.1,27.9
10509,7533,12.2,4,18.2,22.2
10510,3753,21.6,3.8,15.4,19.2
10511,927,13.8,13.1,34.5,47.6
10512,10230,12.3,8.1,13.6,21.7
10514,4278,17.6,5.4,21.4,26.8
10516,2487,4.3,4.1,37.8,41.9
10517,139,31.7,2.9,38.8,41.7
10518,462,0,9.7,11.5,21.2
10519,97,11.3,19.6,42.3,61.9
10520,5506,18.6,5.8,23.1,28.9
10522,3851,26.5,8.2,30.1,38.3
10523,3234,22.6,7.3,18.3,25.6
10524,1781,14.4,5.2,17,22.2
10526,705,8.4,4.7,17.9,22.6
10527,266,7.5,0,8.3,8.3
10528,4886,22.3,9.3,28.1,37.4
10530,6195,29.6,9.1,14.4,23.5
10532,1693,37.1,8.6,21.3,29.9
10533,2781,30.5,3.6,27.9,31.5
10535,216,6.5,0,10.6,10.6
10536,3859,16.1,4.5,22.6,27.1
10537,880,17.3,20.3,24.5,44.8
10538,6154,12.2,12.8,57.7,70.5
10541,9535,15.8,6.7,11.1,17.8
