,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
10013,0.0,53.9,4.5,0.1,35.0,0.0,1.9,4.6,6.1,50.5,51907,11.7,14178,3.4,2.5,60.0,62.5
10501,0.0,92.3,1.2,0.0,0.4,0.0,3.2,2.9,8.7,87.4,50972,0.6,415,12.3,7.0,8.2,15.2
10502,0.0,75.1,1.6,0.2,16.9,0.0,3.4,2.8,7.7,70.8,71563,2.5,2008,33.9,7.7,17.5,25.2
10505,0.0,83.0,2.0,0.0,15.0,0.0,0.0,0.0,9.3,74.5,29286,2.3,297,3.4,0.0,0.0,0.0
10506,0.0,95.1,0.2,0.1,3.5,0.0,0.2,1.0,2.2,93.3,82682,3.4,2331,13.7,2.1,18.9,21.0
10509,0.0,85.2,2.6,0.4,3.3,0.0,6.4,2.1,20.2,72.6,37465,4.5,7533,12.2,4.0,18.2,22.2
10511,0.0,77.9,4.3,0.0,1.8,0.0,12.6,3.5,16.2,75.3,41667,6.7,927,13.8,13.1,34.5,47.6
10512,0.0,87.0,3.4,0.3,2.9,0.0,3.6,2.7,14.7,78.3,40173,4.6,10230,12.3,8.1,13.6,21.7
10516,0.0,94.5,1.0,0.4,0.8,0.0,1.4,1.8,7.4,88.6,46386,3.6,2487,4.3,4.1,37.8,41.9
10517,0.0,91.8,0.0,0.0,1.4,0.0,3.5,3.3,6.6,89.0,35542,0.0,139,31.7,2.9,38.8,41.7
10518,0.0,95.2,0.0,0.0,4.8,0.0,0.0,0.0,0.0,95.2,44556,9.1,462,0.0,9.7,11.5,21.2
10520,0.0,80.5,5.9,0.3,7.0,0.0,4.1,2.1,9.7,74.9,48192,3.8,5506,18.6,5.8,23.1,28.9
10523,0.0,37.8,30.9,1.2,7.6,0.0,18.5,4.0,32.1,26.5,32384,10.3,3234,22.6,7.3,18.3,25.6
10524,1.514,86.8,3.3,0.0,3.0,0.0,1.8,5.2,6.8,82.8,45665,6.7,1781,14.4,5.2,17.0,22.2
10526,0.0,83.3,2.6,0.0,3.3,0.0,10.8,0.0,11.3,82.8,58224,4.5,705,8.4,4.7,17.9,22.6
10527,0.0,97.1,0.4,0.0,2.6,0.0,0.0,0.0,0.2,96.8,53214,1.2,266,7.5,0.0,8.3,8.3
10528,0.0,75.6,3.3,0.8,13.0,0.0,4.5,2.9,11.2,70.1,50824,6.9,4886,22.3,9.3,28.1,37.4
10530,0.0,72.6,8.7,0.7,10.5,0.0,5.3,2.3,13.7,64.8,59410,6.4,6195,29.6,9.1,14.4,23.5
